trial_i	trial_type	number	response_trial	correct	response_time	fixation_start	stimulus_start	iti_start
8	written	five	False	False	n/a	1145686952.9	1145688062.9	1145689082.7
9	dots	4	False	False	n/a	1145691523.0	1145692622.4	1145693643.0
10	arabic	3	False	False	n/a	1145696070.0	1145697178.6	1145698186.7
11	spoken	5	False	False	n/a	1145700612.0	1145701722.0	1145702895.9
13	spoken	8	False	False	n/a	1145709915.2	1145711015.0	1145712056.1
14	written	nine	False	False	n/a	1145714494.7	1145715595.7	1145716615.4
15	dots	3	False	False	n/a	1145719045.6	1145720155.5	1145721174.7
16	spoken	3	False	False	n/a	1145723615.8	1145724713.0	1145725747.4
17	dots	4	False	False	n/a	1145728174.2	1145729273.3	1145730284.8
18	beeps	2	True	False	n/a	1145732724.1	1145743706.3	1145744224.8
19	written	one	False	False	n/a	1145746654.2	1145747764.8	1145748783.8
20	spoken	7	False	False	n/a	1145751224.5	1145752324.1	1145753374.9
21	arabic	7	False	False	n/a	1145755814.5	1145756914.2	1145757934.2
22	spoken	2	False	False	n/a	1145760364.5	1145761474.4	1145762523.6
23	spoken	8	False	False	n/a	1145764954.0	1145766054.1	1145767075.0
24	dots	2	False	False	n/a	1145769503.5	1145770613.7	1145771634.0
25	written	nine	False	False	n/a	1145774063.7	1145775174.3	1145776194.6
27	dots	1	False	False	n/a	1145783181.6	1145784279.2	1145785286.1
28	arabic	5	False	False	n/a	1145787719.5	1145788829.6	1145789839.5
29	beeps	3	False	False	n/a	1145792271.9	1145793373.1	1145794499.9
30	beeps	3	False	False	n/a	1145796930.8	1145798029.1	1145799039.1
31	written	four	False	False	n/a	1145801479.6	1145802589.4	1145803609.4
32	arabic	8	False	False	n/a	1145806039.1	1145807139.2	1145808158.8
33	arabic	9	False	False	n/a	1145810585.1	1145811695.8	1145812705.7
34	spoken	2	False	False	n/a	1145815133.2	1145816239.9	1145817259.9
35	spoken	5	False	False	n/a	1145819698.4	1145820798.4	1145821819.4
36	dots	5	False	False	n/a	1145824256.8	1145825358.9	1145826379.3
37	spoken	6	False	False	n/a	1145828819.1	1145829918.6	1145830939.4
38	spoken	2	False	False	n/a	1145833378.9	1145834479.1	1145835499.3
39	written	eight	True	False	3074.0	1145837938.9	1145842114.1	1145842618.5
40	spoken	4	False	False	n/a	1145845058.9	1145846156.9	1145847175.4
41	written	three	False	False	n/a	1145849614.9	1145850714.6	1145851734.7
42	written	nine	False	False	n/a	1145854174.5	1145855274.7	1145856295.1
44	beeps	5	True	False	n/a	1145863268.3	1145868521.6	1145869030.4
45	dots	5	False	False	n/a	1145871470.8	1145872570.4	1145873589.7
46	arabic	7	False	False	n/a	1145876029.9	1145877130.2	1145878149.8
47	beeps	5	False	False	n/a	1145880579.7	1145881675.5	1145882693.7
48	dots	4	False	False	n/a	1145885132.6	1145886233.1	1145887253.2
49	arabic	7	False	False	n/a	1145889692.5	1145890792.7	1145891812.5
50	arabic	1	False	False	n/a	1145894248.1	1145895357.9	1145896368.5
52	arabic	9	False	False	n/a	1145906412.8	1145907516.1	1145908523.7
53	beeps	1	True	False	n/a	1145910951.1	1145914483.3	1145915003.0
55	beeps	4	False	False	n/a	1145921983.4	1145923083.7	1145924144.3
56	arabic	1	False	False	n/a	1145926584.0	1145927683.9	1145928703.9
57	beeps	1	False	False	n/a	1145931143.9	1145932253.4	1145933263.9
58	spoken	9	False	False	n/a	1145935704.2	1145936803.5	1145937844.4
59	spoken	9	False	False	n/a	1145940283.4	1145941383.0	1145942404.4
60	beeps	1	False	False	n/a	1145944833.9	1145945943.9	1145946953.0
61	beeps	2	False	False	n/a	1145949384.0	1145950483.8	1145951504.9
62	dots	1	False	False	n/a	1145953943.9	1145955043.2	1145956063.2
63	beeps	5	False	False	n/a	1145958504.4	1145959604.1	1145960624.8
64	written	two	True	False	1656.0	1145963063.6	1145965820.9	1145966324.0
65	dots	3	False	False	n/a	1145968763.5	1145969864.2	1145970873.9
66	arabic	2	False	False	n/a	1145973308.7	1145974413.7	1145975418.6
68	arabic	7	False	False	n/a	1145982384.0	1145983488.4	1145984496.4
69	arabic	7	True	False	1765.0	1145986927.7	1145989798.6	1145990309.5
70	arabic	5	False	False	n/a	1145992736.5	1145993839.9	1145994843.5
73	arabic	6	False	False	n/a	1146006396.0	1146007495.5	1146008515.3
78	beeps	1	False	False	n/a	1146029178.5	1146030275.3	1146031290.1
79	written	six	False	False	n/a	1146033729.5	1146034829.5	1146035849.9
80	spoken	4	False	False	n/a	1146038289.5	1146039389.8	1146040410.6
81	written	eight	False	False	n/a	1146042850.6	1146043950.0	1146044970.2
82	arabic	7	False	False	n/a	1146047410.1	1146048509.4	1146049529.2
83	dots	4	False	False	n/a	1146051965.2	1146053062.4	1146054071.2
84	written	six	True	False	2759.0	1146056509.6	1146060371.2	1146060880.0
85	beeps	3	False	False	n/a	1146063313.9	1146064413.2	1146065429.5
86	beeps	5	False	False	n/a	1146067868.5	1146068968.5	1146069990.2
87	arabic	2	False	False	n/a	1146072429.7	1146073531.8	1146074548.7
88	dots	2	False	False	n/a	1146076988.6	1146078089.3	1146079109.1
89	dots	5	False	False	n/a	1146081531.7	1146082641.8	1146083652.2
90	written	eight	False	False	n/a	1146086086.2	1146087189.8	1146088200.9
91	dots	4	False	False	n/a	1146090640.6	1146091741.7	1146092751.6
93	dots	4	False	False	n/a	1146099744.7	1146100844.2	1146101864.5
94	dots	3	False	False	n/a	1146104304.9	1146105404.9	1146106414.4
95	beeps	3	False	False	n/a	1146108845.9	1146109946.2	1146110963.6
96	written	nine	False	False	n/a	1146113403.8	1146114503.9	1146115523.3
97	written	seven	True	False	1867.0	1146117963.9	1146120932.1	1146121450.4
98	spoken	3	False	False	n/a	1146123878.5	1146124983.9	1146125991.3
99	written	two	False	False	n/a	1146128430.8	1146129530.8	1146130546.4
100	spoken	9	False	False	n/a	1146132980.6	1146134080.3	1146135101.3
104	dots	5	False	False	n/a	1146151217.4	1146152320.8	1146153340.6
105	arabic	6	False	False	n/a	1146155780.8	1146156880.8	1146157900.1
106	dots	2	False	False	n/a	1146160337.9	1146161447.5	1146162461.6
107	arabic	8	False	False	n/a	1146164886.9	1146165987.1	1146166989.6
108	arabic	7	False	False	n/a	1146169413.4	1146170519.8	1146171533.4
109	spoken	7	True	False	1955.0	1146173967.9	1146175071.4	1146177544.9
110	dots	3	False	False	n/a	1146179984.6	1146181085.2	1146182105.2
112	written	five	False	False	n/a	1146189084.4	1146190184.4	1146191194.6
115	arabic	1	True	False	2140.0	1146202763.7	1146206016.8	1146206522.5
116	dots	4	False	False	n/a	1146208956.4	1146210062.8	1146211068.7
117	dots	2	False	False	n/a	1146213500.0	1146214599.7	1146215613.3
120	written	six	False	False	n/a	1146227148.8	1146228248.5	1146229265.1
122	beeps	4	False	False	n/a	1146236258.6	1146237358.4	1146238379.1
123	beeps	5	False	False	n/a	1146240817.6	1146241929.0	1146242949.6
124	beeps	4	False	False	n/a	1146245378.4	1146246478.6	1146247499.2
125	arabic	9	False	False	n/a	1146249938.7	1146251038.6	1146252059.0
126	spoken	6	False	False	n/a	1146254498.4	1146255598.4	1146256619.4
127	spoken	3	False	False	n/a	1146259058.1	1146260159.0	1146261164.5
128	arabic	6	True	False	2643.0	1146263598.6	1146267343.0	1146267858.7
133	spoken	9	False	False	n/a	1146288521.8	1146289621.4	1146290642.2
134	spoken	6	False	False	n/a	1146293070.6	1146294171.4	1146295192.1
135	spoken	1	False	False	n/a	1146297621.6	1146298731.4	1146299742.6
136	arabic	3	False	False	n/a	1146302171.7	1146303271.5	1146304291.6
137	spoken	1	True	False	2432.0	1146306731.7	1146307831.7	1146310771.3
138	arabic	8	False	False	n/a	1146313211.5	1146314311.4	1146315331.4
145	dots	5	False	False	n/a	1146345071.7	1146346172.0	1146347191.5
146	dots	4	False	False	n/a	1146349625.9	1146350722.3	1146351735.1
147	beeps	3	False	False	n/a	1146354163.2	1146355264.6	1146356285.0
148	beeps	2	True	False	n/a	1146358724.0	1146362256.1	1146362764.5
149	arabic	9	False	False	n/a	1146365204.5	1146366304.3	1146367324.6
150	written	seven	True	False	1958.0	1146369764.5	1146372824.1	1146373337.0
151	written	six	True	False	2060.0	1146375764.5	1146378934.2	1146379445.7
152	spoken	4	False	False	n/a	1146381875.0	1146382978.7	1146384001.1
153	written	two	False	False	n/a	1146386440.2	1146387539.7	1146388559.4
154	arabic	8	False	False	n/a	1146391000.6	1146392110.8	1146393130.8
155	dots	3	False	False	n/a	1146395565.3	1146396672.0	1146397677.7
156	written	five	False	False	n/a	1146400113.4	1146401212.6	1146402222.1
157	arabic	3	True	False	1913.0	1146404653.8	1146407674.6	1146408186.1
158	arabic	6	False	False	n/a	1146410620.5	1146411724.1	1146412734.8
159	arabic	1	False	False	n/a	1146415162.4	1146416265.9	1146417277.3
161	beeps	2	False	False	n/a	1146425595.7	1146426699.2	1146427719.9
162	dots	2	False	False	n/a	1146430159.2	1146431259.1	1146432279.4
163	written	two	False	False	n/a	1146434719.6	1146435819.6	1146436839.4
166	arabic	8	False	False	n/a	1146448347.6	1146449453.2	1146450461.4
167	beeps	4	False	False	n/a	1146452888.8	1146453989.1	1146455003.1
169	written	eight	False	False	n/a	1146462002.2	1146463113.1	1146464131.8
170	beeps	4	False	False	n/a	1146466555.8	1146467652.0	1146468668.3
174	beeps	2	False	False	n/a	1146484753.8	1146485861.0	1146486877.4
175	spoken	2	False	False	n/a	1146489307.8	1146490407.6	1146491417.9
176	beeps	2	False	False	n/a	1146493858.1	1146494967.5	1146495978.0
177	written	nine	False	False	n/a	1146498407.9	1146499517.3	1146500527.8
178	written	seven	False	False	n/a	1146502957.6	1146504057.4	1146505078.0
181	written	one	True	False	1801.0	1146516581.9	1146519494.6	1146520002.6
182	dots	5	False	False	n/a	1146522427.6	1146523531.5	1146524540.4
184	written	five	False	False	n/a	1146531510.7	1146532621.5	1146533641.2
185	spoken	5	False	False	n/a	1146536081.2	1146537179.9	1146538202.0
186	arabic	2	False	False	n/a	1146540638.5	1146541741.7	1146542761.1
187	beeps	5	False	False	n/a	1146545203.9	1146546311.7	1146547332.0
188	beeps	1	False	False	n/a	1146549761.3	1146550871.5	1146551891.7
190	spoken	9	False	False	n/a	1146558880.6	1146559981.3	1146560997.3
191	beeps	2	False	False	n/a	1146563422.2	1146564520.5	1146565530.9
192	written	one	False	False	n/a	1146567961.5	1146569061.2	1146570080.8
193	spoken	6	False	False	n/a	1146572521.8	1146573621.5	1146574631.9
196	dots	4	False	False	n/a	1146586161.5	1146587260.8	1146588271.6
197	spoken	2	True	False	3522.0	1146590710.8	1146591811.1	1146595840.4
199	dots	3	False	False	n/a	1146602831.4	1146603940.8	1146604945.9
